     t     ,   ref   ,   pj0    ,    vj0    ,    tj0    ,    pj1    ,    vj1    ,    tj1    ,    pj2    ,    vj2    ,    tj2    ,    pj3    ,    vj3    ,    tj3    ,    pj4    ,    vj4    ,    tj4    ,    pj5    ,    vj5    ,    tj5    

   0.00000,    0.00000,    0.00001,    0.00000,    0.05801,   -1.57082,    0.00000,    0.90965,    0.00005,    0.00000,   -1.41369,   -1.57086,    0.00000,    0.10727,   -0.00001,    0.00000,   -0.06139,    0.00000,    0.00000,   -0.09664
   0.00100,    0.00000,    0.00002,    0.00000,    0.05801,   -1.57082,    0.00000,    0.90965,    0.00005,    0.00000,   -1.41369,   -1.57086,    0.00000,    0.10727,   -0.00001,    0.00000,   -0.06139,    0.00000,    0.00000,   -0.09664
   0.00200,    0.00000,    0.02900,   -1.57076,    0.00000,    0.96834,    0.00004,    0.00000,   -1.45652,   -1.57082,    0.00000,    0.07151,   -0.00004,    0.00000,   -0.08186,   -0.00001,    0.00000,   -0.17294,   82.78566,    0.04856
   0.00300,    0.00000,    0.00004,    0.00000,   -0.05801,   -1.57081,    0.00000,    0.93900,    0.00004,    0.00000,   -1.35657,   -1.57082,    0.00000,    0.12259,   -0.00006,    0.00000,   -0.06139,    0.00001,    0.00000,   -0.13225
   0.00400,    0.00000,   -0.00002,    0.00000,    0.02900,   -1.57081,    0.00000,    0.93900,    0.00004,    0.00000,   -1.51364,   -1.57084,    0.00000,    0.09705,   -0.00005,    0.00000,   -0.06651,   -0.00002,    0.00000,   -0.15768
   0.00500,    0.00000,    0.00002,    0.00000,    0.00000,   -1.57082,    0.00000,    0.99769,    0.00001,    0.00000,   -1.35657,   -1.57087,    0.00000,    0.11748,   -0.00004,    0.00000,   -0.13302,    0.00000,    0.00000,   -0.11699
   0.00600,    0.00000,    0.00002,    0.00000,   -0.02900,   -1.57082,    0.00000,    0.93900,    0.00004,    0.00000,   -1.41369,   -1.57087,    0.00000,    0.10727,   -0.00008,    0.00000,   -0.07163,    0.00000,    0.00000,   -0.14751
   0.00700,    0.00000,    0.00004,    0.00000,   -0.02900,   -1.57080,    0.00000,    0.93900,    0.00001,    0.00000,   -1.25661,   -1.57087,    0.00000,    0.08683,   -0.00006,    0.00000,   -0.07163,    0.00000,    0.00000,   -0.12716
   0.00800,    0.00000,    0.00004,    0.00000,   -0.05801,   -1.57080,    0.00000,    0.85097,    0.00004,    0.00000,   -1.59932,   -1.57086,    0.00000,    0.10727,   -0.00004,    0.00000,   -0.08186,    0.00002,    0.00000,   -0.13225
   0.00900,    0.00000,    0.00002,    0.00000,    0.00000,   -1.57080,    0.00000,    0.93900,    0.00002,    0.00000,   -1.42797,   -1.57082,    0.00000,    0.11748,   -0.00005,    0.00000,   -0.05628,    0.00000,    0.00000,   -0.16276
   0.01000,    0.00000,    0.00000,    0.00000,    0.00000,   -1.57081,    0.00000,    0.93900,    0.00005,    0.00000,   -1.27089,   -1.57082,    0.00000,    0.07662,   -0.00005,    0.00000,   -0.08697,    0.00000,    0.00000,   -0.12207
   0.01100,    0.00000,    0.00004,    0.00000,    0.11602,   -1.57084,    0.00000,    0.79228,    0.00002,    0.00000,   -1.38513,   -1.57082,    0.00000,    0.12259,   -0.00005,    0.00000,   -0.07163,    0.00000,    0.00000,   -0.10173
   0.01200,    0.00000,    0.00005,    0.00000,   -0.11602,   -1.57081,    0.00000,    0.85097,    0.00006,    0.00000,   -1.35657,   -1.57083,    0.00000,    0.12259,   -0.00006,    0.00000,   -0.08697,    0.00001,    0.00000,   -0.09664
   0.01300,    0.00000,   -0.00001,    0.00000,   -0.11602,   -1.57080,    0.00000,    0.88031,    0.00005,    0.00000,   -1.51364,   -1.57081,    0.00000,    0.11748,   -0.00006,    0.00000,   -0.11255,   -0.00001,    0.00000,   -0.10681
   0.01400,    0.00000,    0.00005,    0.00000,   -0.08701,   -1.57078,    0.00000,    0.90965,    0.00004,    0.00000,   -1.41369,   -1.57086,    0.00000,    0.08173,   -0.00002,    0.00000,   -0.11255,    0.00000,    0.00000,   -0.12207
   0.01500,    0.00000,    0.00004,    0.00000,    0.00000,   -1.57083,    0.00000,    0.82162,    0.00007,    0.00000,   -1.25661,   -1.57083,    0.00000,    0.11237,   -0.00006,    0.00000,   -0.08697,   -0.00001,    0.00000,   -0.12716
   0.01600,    0.00000,    0.00005,    0.00000,    0.00000,   -1.57078,    0.00000,    0.85097,    0.00006,    0.00000,   -1.25661,   -1.57086,    0.00000,    0.10727,   -0.00004,    0.00000,   -0.10232,    0.00002,    0.00000,   -0.12207
   0.01700,    0.00000,    0.00002,    0.00000,    0.05801,   -1.57078,    0.00000,    0.93900,    0.00005,    0.00000,   -1.51364,   -1.57086,    0.00000,    0.09705,   -0.00002,    0.00000,   -0.08697,   -0.00001,    0.00000,   -0.15259
   0.01800,    0.00000,    0.00002,    0.00000,    0.00000,   -1.57078,    0.00000,    0.82162,    0.00006,    0.00000,   -1.18521,   -1.57083,    0.00000,    0.10727,   -0.00002,    0.00000,   -0.08186,    0.00002,    0.00000,   -0.13225
   0.01900,    0.00000,    0.00001,    0.00000,   -0.02900,   -1.57083,    0.00000,    0.88031,    0.00004,    0.00000,   -1.34229,   -1.57082,    0.00000,    0.11748,   -0.00004,    0.00000,   -0.08186,    0.00001,    0.00000,   -0.12716
   0.02000,    0.00000,    0.00004,    0.00000,   -0.02900,   -1.57083,    0.00000,    0.90965,    0.00007,    0.00000,   -1.41369,   -1.57083,    0.00000,    0.10216,   -0.00006,    0.00000,   -0.09209,    0.00001,    0.00000,   -0.13225
   0.02100,    0.00000,    0.00000,    0.00000,   -0.02900,   -1.57082,    0.00000,    0.85097,    0.00005,    0.00000,   -1.55648,   -1.57082,    0.00000,    0.11748,   -0.00005,    0.00000,   -0.05116,   -0.00001,    0.00000,   -0.13733
   0.02200,    0.00000,    0.00004,    0.00000,    0.00000,   -1.57083,    0.00000,    0.88031,    0.00007,    0.00000,   -1.42797,   -1.57084,    0.00000,    0.09705,   -0.00007,    0.00000,   -0.09209,    0.00001,    0.00000,   -0.18311
   0.02300,    0.00000,    0.00002,    0.00000,   -0.08701,   -1.57080,    0.00000,    0.88031,    0.00006,    0.00000,   -1.29945,   -1.57083,    0.00000,    0.07662,   -0.00004,    0.00000,   -0.08186,    0.00000,    0.00000,   -0.13733
   0.02400,    0.00000,    0.00002,    0.00000,   -0.02900,   -1.57081,    0.00000,    0.96834,    0.00006,    0.00000,   -1.34229,   -1.57086,    0.00000,    0.13280,   -0.00006,    0.00000,   -0.09209,    0.00000,    0.00000,   -0.11190
   0.02500,    0.00000,    0.00002,    0.00000,   -0.02900,   -1.57083,    0.00000,    0.90965,    0.00004,    0.00000,   -1.48509,   -1.57083,    0.00000,    0.12259,   -0.00006,    0.00000,   -0.06651,   -0.00001,    0.00000,   -0.14751
   0.02600,    0.00000,    0.00002,    0.00000,   -0.02900,   -1.57081,    0.00000,    0.82162,   -0.00001,    0.00000,   -1.38513,   -1.57081,    0.00000,    0.10216,   -0.00004,    0.00000,   -0.09209,   -0.00002,    0.00000,   -0.13733
   0.02700,    0.00000,    0.00001,    0.00000,   -0.05801,   -1.57082,    0.00000,    0.88031,    0.00005,    0.00000,   -1.28517,   -1.57083,    0.00000,    0.10216,   -0.00002,    0.00000,   -0.08186,    0.00001,    0.00000,   -0.13733
   0.02800,    0.00000,    0.00004,    0.00000,   -0.02900,   -1.57080,    0.00000,    0.90965,    0.00008,    0.00000,   -1.39941,   -1.57084,    0.00000,    0.12259,   -0.00005,    0.00000,   -0.04093,   -0.00004,    0.00000,   -0.12716
   0.02900,    0.00000,    0.00004,    0.00000,   -0.11602,   -1.57077,    0.00000,    0.88031,    0.00004,    0.00000,   -1.32801,   -1.57083,    0.00000,    0.10216,   -0.00005,    0.00000,   -0.10744,    0.00000,    0.00000,   -0.11190
   0.03000,    0.00000,    0.00002,    0.00000,    0.02900,   -1.57077,    0.00000,    0.93900,    0.00004,    0.00000,   -1.17093,   -1.57083,    0.00000,    0.12259,   -0.00005,    0.00000,   -0.07674,    0.00000,    0.00000,   -0.15259
   0.03100,    0.00000,    0.00002,    0.00000,    0.02900,   -1.57081,    0.00000,    0.88031,    0.00004,    0.00000,   -1.44225,   -1.57084,    0.00000,    0.08173,   -0.00006,    0.00000,   -0.07674,    0.00000,    0.00000,   -0.13225
   0.03200,    0.00000,    0.00005,    0.00000,    0.02900,   -1.57080,    0.00000,    0.76293,    0.00004,    0.00000,   -1.37085,   -1.57087,    0.00000,    0.12259,   -0.00004,    0.00000,   -0.02558,   -0.00004,    0.00000,   -0.12716
   0.03300,    0.00000,    0.00000,    0.00000,   -0.08701,   -1.57083,    0.00000,    0.93900,    0.00006,    0.00000,   -1.42797,   -1.57082,    0.00000,    0.08173,   -0.00004,    0.00000,   -0.07163,   -0.00004,    0.00000,   -0.14242
   0.03400,    0.00000,    0.00006,    0.00000,   -0.02900,   -1.57081,    0.00000,    0.82162,    0.00004,    0.00000,   -1.44225,   -1.57083,    0.00000,    0.09194,   -0.00007,    0.00000,   -0.08697,   -0.00002,    0.00000,   -0.12716
   0.03500,    0.00000,    0.00000,    0.00000,   -0.02900,   -1.57080,    0.00000,    0.88031,    0.00002,    0.00000,   -1.32801,   -1.57082,    0.00000,    0.11748,   -0.00004,    0.00000,   -0.06651,   -0.00002,    0.00000,   -0.12716
   0.03600,    0.00000,    0.00005,    0.00000,   -0.05801,   -1.57081,    0.00000,    0.88031,    0.00001,    0.00000,   -1.15665,   -1.57083,    0.00000,    0.09705,   -0.00007,    0.00000,   -0.09209,   -0.00002,    0.00000,   -0.11190
   0.03700,    0.00000,    0.00002,    0.00000,    0.08701,   -1.57080,    0.00000,    0.85097,    0.00001,    0.00000,   -1.29945,   -1.57084,    0.00000,    0.09705,   -0.00006,    0.00000,   -0.08186,   -0.00001,    0.00000,   -0.13733
